ID,Price,Date,Postcode,Type,NewBuild,Estate,Address1,Address2,Address3,Address4,Address5,District,County
9D1B0241-7B8D-477C-B5D8-65796B5C5F71,1625000,02/10/2014,HA6 2EL,D,N,F,,8,ORMONDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
9B361206-45AF-1904-E053-6B04A8C0EEB5,1700000,20/11/2019,HA6 2EL,D,N,F,,10,ORMONDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
4E95D757-6FDC-EDA1-E050-A8C0630539E2,1450000,30/03/2017,HA6 2EN,D,N,F,,36,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
01EB45EF-C63D-40F3-E063-4704A8C05FDE,2100000,14/06/2023,HA6 2EN,D,N,F,,50,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
B29F0C56-990F-4DA0-A024-306F9769ED00,1183500,25/11/2011,HA6 2EN,D,N,F,,52,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
965B6D91-61C6-95E4-E053-6C04A8C07729,1175000,25/09/2019,HA6 2EQ,D,N,F,,2,HEATHSIDE CLOSE,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
29FB0715-6274-4DCA-A1D9-6D55A80F87C7,850000,17/05/2010,HA6 2EQ,D,N,F,,2A,HEATHSIDE CLOSE,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
AE4D86D4-0B70-4619-E053-6C04A8C03CD0,1315000,06/07/2020,HA6 2EQ,D,N,F,,3,HEATHSIDE CLOSE,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
C6209F5F-4581-295E-E053-6C04A8C0DDCC,1820000,25/03/2021,HA6 2EQ,D,N,F,,7,HEATHSIDE CLOSE,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
34428D7E-0E77-B86C-E050-A8C06205059C,1550000,24/05/2016,HA6 2EQ,D,N,F,,8,HEATHSIDE CLOSE,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
EC7AD099-AB8D-9200-E053-6C04A8C0E306,5100000,17/12/2021,HA6 2ER,D,N,F,,33,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
36330FF0-942C-458A-A395-156529BD310F,1100000,17/06/2010,HA6 2ER,D,N,F,,43,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
DBA933F9-6905-669D-E053-6B04A8C0AD56,2000000,07/10/2021,HA6 2ER,D,N,F,,63,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
4FB827A3-F558-4AE9-8942-87F3CD4B606C,1496500,26/07/2013,HA6 2ER,D,N,F,,63,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
AE4D86D4-0B92-4619-E053-6C04A8C03CD0,1350000,31/03/2020,HA6 2ER,D,N,F,,69,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
E7B085FC-37A9-7E31-E053-6C04A8C0E67F,2000000,04/05/2022,HA6 2ER,D,N,F,,73,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
1F288F83-4808-4E8F-9040-38156AF2B1C6,1240000,31/01/2014,HA6 2ER,D,N,F,,77,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
F57FF83E-4393-462E-81FE-7C6BA948B633,1025000,01/12/2009,HA6 2ER,D,N,F,,77,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
D22473F5-5402-7B40-E053-6C04A8C0A630,1600000,23/03/2018,HA6 2ER,D,N,F,,79,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
4B114D1F-3686-47D5-B1F7-764746BD3114,1375000,29/08/2013,HA6 2ER,D,N,F,,83,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
CAE970CF-FC49-427D-A77A-EBBF9283B605,990000,27/04/2011,HA6 2ER,D,N,F,,87,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
54CD5FAA-4B18-4E7E-AC41-CB83E7B5054C,1225000,30/04/2015,HA6 2ER,D,N,F,,91A,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
EB0CE619-296E-4DD4-A899-024570F6657D,700000,07/09/2009,HA6 2ER,D,N,F,,99,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
2DD23C00-D141-4CD2-9A26-9FB8A8E60336,780000,18/09/2009,HA6 2ER,D,N,F,,103,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
C5B229D2-2EB7-4AB8-8BC1-FB8B4BC991B4,1950000,14/11/2014,HA6 2ET,D,N,F,,2,SOUTH APPROACH,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
BAF0A65B-2B94-4A5D-BB98-2294523E37F9,1112500,26/04/2012,HA6 2ET,D,N,F,,4,SOUTH APPROACH,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
D8CF2A65-EB79-48C0-9FF2-4DAB8CD7C663,1419350,14/09/2012,HA6 2ET,D,N,F,,8,SOUTH APPROACH,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
E7B085FC-3661-7E31-E053-6C04A8C0E67F,2035000,29/03/2022,HA6 2ET,D,N,F,,12,SOUTH APPROACH,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
