urn,la_code,local_authority_ons_name,region_code,ofsted_ilacs_scrape_la_name,rgn22cd,rgn22nm,lad22cd,ltla23cd,ltla23nm,ltla23nmw,utla23cd,utla23nm,country,parliamentary_constituency,ofsted_region,gov_office_region
80564,861,Stoke-on-Trent,SW,Stoke-on-Trent,E12000005,West Midlands,E06000021,E06000021,Stoke-on-Trent,,E06000021,Stoke-on-Trent,England,Preseli Pembrokeshire,South West,South West
80565,935,Suffolk,NW,Suffolk,E12000006,East of England,,E10000029,Suffolk,,E10000029,Suffolk,England,Brecon and Radnorshire,North West,North West
80566,394,Sunderland,WM,Sunderland,E12000001,North East,E08000024,E08000024,Sunderland,,E08000024,Sunderland,England,Cynon Valley,West Midlands,West Midlands
80567,936,Surrey,E,Surrey,E12000008,South East,,E10000030,Surrey,,E10000030,Surrey,England,Gower,East of England,East of England
80568,866,Swindon,SW,Swindon,E12000009,South West,E06000030,E06000030,Swindon,,E06000030,Swindon,England,Torfaen,South West,South West
80569,357,Tameside,NW,Tameside,E12000002,North West,E08000008,E08000008,Tameside,,E08000008,Tameside,England,Vale of Glamorgan,North West,North West
80570,894,Telford and Wrekin,YH,Telford & Wrekin,E12000005,West Midlands,E06000020,E06000020,Telford and Wrekin,,E06000020,Telford and Wrekin,England,Wrexham,Yorkshire and the Humber,Yorkshire and the Humber
80571,883,Thurrock,WM,Thurrock,E12000006,East of England,E06000034,E06000034,Thurrock,,E06000034,Thurrock,England,Belfast East,West Midlands,West Midlands
80572,880,Torbay,NW,Torbay,E12000009,South West,E06000027,E06000027,Torbay,,E06000027,Torbay,England,South Antrim,North West,North West
80573,358,Trafford,,Trafford,E12000002,North West,E08000009,E08000009,Trafford,,E08000009,Trafford,England,Strangford,,
80574,335,Walsall,WM,Walsall,E12000005,West Midlands,E08000030,E08000030,Walsall,,E08000030,Walsall,England,Upper Bann,West Midlands,West Midlands
80575,877,Warrington,SE,Warrington,E12000002,North West,E06000007,E06000007,Warrington,,E06000007,Warrington,England,East Londonderry,South East,South East
